Código PLU;Código de Barras;SKU;Producto / Corte;Categoría;Precio ($);Unidad;Stock;Disponible;Descripción
419;;7,80E+12;BATATAS TRYMS CLASICAS;ALMACEN;1890;un;100;SÍ;
420;;2222;BICARBONATO;ALMACEN;0;un;100;SÍ;
0000;;502;BOLSA PARA HORNO;ALMACEN;4500;un;100;SÍ;
6139;;7,80E+12;BOTELLA PURE DE TOMATE;ALMACEN;0;un;100;SÍ;
2375;;7,79E+12;CALDO DE CARNE KNORR X2UNID;ALMACEN;0;un;100;SÍ;
2376;;503;CALDO DE GALLINA KNORR X2UNID;ALMACEN;0;un;100;SÍ;
509;;7,79E+12;CALDO DE VERDURAS KNORR X2UNID;ALMACEN;0;un;100;SÍ;
3103;;7008;CHEETOS 43g;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;CHEETOS QUESO CREMA;ALMACEN;0;un;100;SÍ;
8454;;7,80E+12;CHIPS BATATAS;ALMACEN;0;un;100;SÍ;
7484;;7,80E+12;Chutney de Pimientos;ALMACEN;5400;un;100;SÍ;
7486;;504;COMINO ALICANTE X25G;ALMACEN;0;un;100;SÍ;
7485;;7,79E+12;CONDIMENTO PARA ARROZ;ALMACEN;0;un;100;SÍ;
511;;7,79E+12;CONDIMENTO PARA CARNES BLANCAS;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;CONDIMENTO PARA CHIMI;ALMACEN;0;un;100;SÍ;
77800;;7,79E+12;CONDIMENTO PARA MILANESAS;ALMACEN;0;un;100;SÍ;
5157;;7,79E+12;CONDIMENTO PARA PIZZA;ALMACEN;0;un;100;SÍ;
802;;7,79E+12;CONDIMENTO PARA TUCOS Y GUISOS;ALMACEN;0;un;100;SÍ;
250;;7,79E+12;CONDIMENTO ROMERO;ALMACEN;0;un;100;SÍ;
212;;7,79E+12;CONDIMENTO TOMILLO;ALMACEN;0;un;100;SÍ;
800;;466455;Conejo pascua chico;ALMACEN;3500;un;100;SÍ;
238;;235425;Conejo pascua grande;ALMACEN;3500;un;100;SÍ;
229;;151515;CRIOLLOS DESAYUNO;ALMACEN;0;un;100;SÍ;
600;;32541;Cuchillo capador Republica;ALMACEN;25000;un;100;SÍ;
1595;;7002;DORITOS 40g;ALMACEN;0;un;100;SÍ;
313;;7004;DORITOS 77g;ALMACEN;0;un;100;SÍ;
253;;7,79E+12;ESPECIAS SURTIDAS;ALMACEN;0;un;100;SÍ;
1258;;51651;FACTURAS DESAYUNO;ALMACEN;0;un;100;SÍ;
2201;;77847;FAJITAS MACHOTE x12;ALMACEN;4200;un;100;SÍ;
239;;77846;FAJITAS MACHOTE x6;ALMACEN;3500;un;100;SÍ;
240;;7,80E+12;FIDEOS SECOS LA BUONA PASTA ESPINACA;ALMACEN;0;un;100;SÍ;
220;;7,80E+12;FIDEOS SECOS LA BUONA PASTA HUEVO;ALMACEN;0;un;100;SÍ;
948;;7,80E+12;FIDEOS SECOS LA BUONA PASTA MORRON;ALMACEN;0;un;100;SÍ;
500;;77835;FIDEOS SECOS NOSTRA PASTA A LA ESPINACA;ALMACEN;0;un;100;SÍ;
225;;77833;FIDEOS SECOS NOSTRA PASTA AL HUEVO;ALMACEN;0;un;100;SÍ;
1012;;77834;FIDEOS SECOS NOSTRA PASTA AL MORRON;ALMACEN;0;un;100;SÍ;
5155;;7,80E+12;FIDEOS SOPEROS DEDALITO;ALMACEN;0;un;100;SÍ;
251;;7,80E+12;FIDEOS TALLARIN;ALMACEN;0;un;100;SÍ;
252;;7,80E+12;FIDEOS TIRABUZON;ALMACEN;0;un;100;SÍ;
5153;;88;Flor Feliz Dia!;ALMACEN;0;un;100;SÍ;
5152;;98985;Focaccia;ALMACEN;7000;un;100;SÍ;
187;;9392;Fusion Divina - Sal Himalaya - Gourmet Rosa;ALMACEN;4600;un;100;SÍ;
666;;9394;Fusion Divina - Sal Himalaya - Extra picante;ALMACEN;4800;un;100;SÍ;
8725;;9393;Fusion Divina - Sal Himalaya - Hierbas y Especias;ALMACEN;4600;un;100;SÍ;
1234;;9395;Fusion Divina - Sal Himalaya - Picante suave;ALMACEN;4600;un;100;SÍ;
0000;;968541;Herdez JalapeÃ±o en tiras;ALMACEN;7200;un;100;SÍ;
297;;7,50E+12;HERDEZ MAYO C/ CHIPOTLE 310 G;ALMACEN;7600;un;100;SÍ;
298;;HIELO;HIELO;ALMACEN;0;un;100;SÍ;
95484;;213255;Huevo pascua chico;ALMACEN;1000;un;100;SÍ;
2540;;888454;Huevo pascua grande;ALMACEN;4000;un;100;SÍ;
;;870212;Huevo pascua mediano;ALMACEN;2500;un;100;SÍ;
169;;31201;Huevo pascua plano;ALMACEN;2000;un;100;SÍ;
5556;;513;INICIADOR DE FUEGO;ALMACEN;1950;un;100;SÍ;
0000;;7,80E+12;Jalapenos en rodaja ROJO;ALMACEN;5700;un;100;SÍ;
124;;7,80E+12;Jalapenos en Rodajas Verdes;ALMACEN;5700;un;100;SÍ;
421;;512;Jugo de Arandanos;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;KETCHUP HELLMANNS 250g;ALMACEN;3300;un;100;SÍ;
1557;;2016;KIT DE ASADOR X3 PIEZAS;ALMACEN;14990;un;100;SÍ;
1555;;2017;KIT DE ASADOR X4;ALMACEN;19990;un;100;SÍ;
0000;;64512;Kit vino;ALMACEN;19000;un;100;SÍ;
143;;556;LAUREL EN HOJAS;ALMACEN;0;un;100;SÍ;
3050;;7000;LAYS CLASICAS 85g;ALMACEN;0;un;100;SÍ;
3051;;7001;LAYS JAMON SERRANO 77g;ALMACEN;0;un;100;SÍ;
84521;;7003;LAYS QUESO CREMA Y CEBOLLA 77g;ALMACEN;0;un;100;SÍ;
2012;;968;Machote AHUMADO;ALMACEN;4500;un;100;SÍ;
44;;969;Machote CHIDOS;ALMACEN;4500;un;100;SÍ;
3333;;98989852;Machote Wraps;ALMACEN;5300;un;100;NO;
50;;7,79E+12;MAIZ;ALMACEN;0;un;100;NO;
45;;7,50E+12;MAYO C/ GUACAMOLE;ALMACEN;0;un;100;SÍ;
46;;7,50E+12;MAYO C/ HABANERO;ALMACEN;0;un;100;SÍ;
759;;7,50E+12;MAYO C/ JALAPENO;ALMACEN;0;un;100;SÍ;
6565;;7,79E+12;MAYONESA HELLMANNS 250g;ALMACEN;2100;un;100;SÍ;
47;;98452;Mayonesa con Jalapeno Herdez;ALMACEN;7600;un;100;SÍ;
63;;77856;MAYONESA HEINZ 200G;ALMACEN;2350;un;100;SÍ;
422;;77855;MAYONESA HEINZ 350G;ALMACEN;4100;un;100;SÍ;
423;;7,79E+12;MAYONESA HELLMANNS LIGHT;ALMACEN;1710;un;100;SÍ;
424;;55552;Mayonesa Herdez Guacamole;ALMACEN;7600;un;100;SÍ;
425;;7,79E+12;MOSTAZA SAVORA 250G;ALMACEN;2300;un;100;SÍ;
426;;96965484;Nacho Machote Crema y Cebolla;ALMACEN;4500;un;100;SÍ;
427;;8787541;Nacho Machote JalapeÃ±o y lima;ALMACEN;4500;un;100;SÍ;
428;;7,80E+12;NACHOS MACHOTE 250gr;ALMACEN;4200;un;100;SÍ;
950;;7,80E+12;NACHOS TRYMS CHEDDAR;ALMACEN;0;un;100;SÍ;
891;;7,80E+12;NACHOS TRYMS JALAPENO Y LIMA;ALMACEN;1590;un;100;SÍ;
429;;7,79E+12;NUEZ MOSCADA ALICANTE X25G;ALMACEN;0;un;100;SÍ;
5432;;7,59E+11;OLIVA SDC AJI;ALMACEN;19500;un;100;SÍ;
1111;;7,59E+11;OLIVA SDC AJO;ALMACEN;19500;un;100;SÍ;
48;;7,59E+11;OLIVA SDC MEDITERRANEO;ALMACEN;19500;un;100;SÍ;
170;;7,79E+12;OREGANO ALICANTE;ALMACEN;0;un;100;SÍ;
7007;;312;PAN A LA CHAPA;ALMACEN;4800;un;100;SÍ;
7006;;132798;Pan Corderito;ALMACEN;4000;un;100;SÍ;
299;;322;PAN DE LOMO;ALMACEN;1300;un;100;SÍ;
300;;PANSUNSET;PAN DE LOMO SUNSET;ALMACEN;3500;un;100;SÍ;
301;;1051;PAN DE PANCHO X6;ALMACEN;0;un;100;SÍ;
49;;4989;Pan Hamburguesa Sunset x4;ALMACEN;3200;un;100;SÍ;
117;;panlactal;PAN LACTAL ARTESANAL;ALMACEN;0;un;100;SÍ;
64;;8888;PAPAS ASADO/PROVENZAL/CIBOULET;ALMACEN;0;un;100;SÍ;
9999;;506;PAPAS FRITAS TRYMS CLASICAS;ALMACEN;1590;un;100;SÍ;
54548;;7,79E+12;PAPAS JULICROC ASADO CRIOLLO 70 G;ALMACEN;0;un;100;SÍ;
998;;7,79E+12;PAPAS JULICROC CREMA Y CIBOULETTE 70 G;ALMACEN;0;un;100;SÍ;
1212;;7,80E+12;PAPAS JULICROC PROVENZAL 70 G;ALMACEN;0;un;100;SÍ;
888;;300065284;PAPAS LAYS PROVOLETA/ASADO;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;PAPAS PEHUAMAR CHIMI/MATAMBRE/CLASICAS;ALMACEN;0;un;100;SÍ;
0000;;7,80E+12;PAPAS PIMIENTA Y SAL MARINA;ALMACEN;0;un;100;SÍ;
650;;7,80E+12;PAPAS RUSTICAS;ALMACEN;0;un;100;SÍ;
9978;;858;Pep Rueditas 40gr;ALMACEN;0;un;100;SÍ;
0000;;959;PEPINO AGRIDULCE;ALMACEN;20540;un;100;SÍ;
0000;;507;PIMENTON ALICANTE X25G;ALMACEN;0;un;100;SÍ;
5400;;7,79E+12;PIMIENTA BLANCA MOLIDA;ALMACEN;0;un;100;SÍ;
0000;;6130;PIMIENTA NEGRA EN POLVO ALICANTE 25G;ALMACEN;0;un;100;SÍ;
5555;;22222;POLENTA EGRAN;ALMACEN;0;un;100;SÍ;
3262;;7,79E+12;POROTO;ALMACEN;0;un;100;SÍ;
603;;6133;PROVENZAL ALICANTE;ALMACEN;0;un;100;SÍ;
1556;;7,80E+12;Pure de Jalapenos;ALMACEN;5700;un;100;SÍ;
0000;;7,79E+12;PURE DE PAPA CHEF;ALMACEN;0;un;100;SÍ;
652;;8972;pure de papas;ALMACEN;3200;un;100;SÍ;
651;;7,80E+12;PURE DE TOMATES DE LA HUERTA BAGGIO;ALMACEN;2200;un;100;SÍ;
7797;;95124;Queso rallado La Paulina;ALMACEN;1700;un;100;SÍ;
0000;;7,79E+12;QUESO RAYADO LA PAULINA;ALMACEN;1700;un;100;SÍ;
555;;6016;ROMERO ALICANTE;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;SABOR EN POLVO 4 QUESOS;ALMACEN;0;un;100;SÍ;
77858;;7,79E+12;SABOR EN POLVO ALBAHACA Y AJO;ALMACEN;0;un;100;SÍ;
0000;;7,79E+12;SABOR EN POLVO CARNE;ALMACEN;0;un;100;SÍ;
2940;;7,79E+12;SABOR EN POLVO GALLINA;ALMACEN;0;un;100;SÍ;
5165;;7,79E+12;SABOR EN POLVO PANCETA Y HIERBAS;ALMACEN;0;un;100;SÍ;
8484;;7,79E+12;SABOR EN POLVO VERDURAS;ALMACEN;0;un;100;SÍ;
0000;;7,80E+12;SAL DE CAMPO AHUMADA;ALMACEN;3900;un;100;SÍ;
333;;7,80E+12;SAL DE CAMPO C/5 PIMIENTAS;ALMACEN;4050;un;100;SÍ;
607;;7,80E+12;SAL DE CAMPO ESPECIAL;ALMACEN;4200;un;100;SÍ;
4784;;6139;SAL DE CAMPO FINA CON ESPECIAS;ALMACEN;2690;un;100;SÍ;
2218;;7,80E+12;SAL DE CAMPO LIGHT;ALMACEN;0;un;100;SÍ;
430;;2375;SAL DE CAMPO MARINA;ALMACEN;0;un;100;SÍ;
431;;2376;SAL DE CAMPO MARINA C/ ESPECIAS;ALMACEN;0;un;100;SÍ;
432;;509;SAL DE CAMPO ORIGINAL;ALMACEN;2989;un;100;SÍ;
433;;3103;SAL ENTREFINA CELUSAL;ALMACEN;2200;un;100;SÍ;
439;;7,79E+12;SAL FINA CELUSAL 500G;ALMACEN;1760;un;100;SÍ;
2700;;8454;Sal himalaya Comun;ALMACEN;3000;un;100;SÍ;
8700;;7484;Sal Himalaya Especias;ALMACEN;3300;un;100;SÍ;
8700;;7486;Sal Himalaya Extra Picante;ALMACEN;3300;un;100;SÍ;
8700;;7485;Sal Himalaya Suave;ALMACEN;3300;un;100;SÍ;
9900;;511;SAL LA LOMA;ALMACEN;7560;un;100;SÍ;
3700;;7,79E+12;Sal parrillera celusal;ALMACEN;3000;un;100;SÍ;
8700;;77800;SAL SALT MALBEC;ALMACEN;3500;un;100;SÍ;
8700;;666;SALMUERA;ALMACEN;3000;un;100;SÍ;
5700;;878725;Salsa BBQ Vanoli;ALMACEN;3300;un;100;SÍ;
5700;;1234;SALSA CHIMI/CRIOLLA;ALMACEN;3000;un;100;SÍ;
5700;;7,79E+12;SALSA DE SOJA;ALMACEN;0;un;100;SÍ;
5700;;7,79E+12;SALSA DE SOJA VANOLI 190gr;ALMACEN;0;un;100;SÍ;
9700;;7,80E+12;Salsa Taquera;ALMACEN;5500;un;100;SÍ;
7700;;5556;SET VINO;ALMACEN;14000;un;100;SÍ;
8700;;7,79E+12;SNACK DOS HERMANOS JAMON/ASADO/SALAME;ALMACEN;0;un;100;SÍ;
9900;;7,80E+12;SPAGHETTI;ALMACEN;0;un;100;SÍ;
8700;;84521;Tabla Dips Republica;ALMACEN;24000;un;100;SÍ;
8700;;891;Tomate triturado Botella Cialpil;ALMACEN;3100;un;100;SÍ;
0700;;8765432;TORTILLAS DE TRIGO X12;ALMACEN;0;un;100;SÍ;
8700;;1111;TORTILLAS TRIGO;ALMACEN;0;un;100;SÍ;
9700;;7,80E+12;TRYMS EXTRA HOT;ALMACEN;0;un;100;SÍ;
0700;;7007;TWISTOS JAMON IBERICO 95g;ALMACEN;0;un;100;SÍ;
2700;;7006;TWISTOS QUESO 95g;ALMACEN;0;un;100;SÍ;
75700;;7,79E+12;VINAGRE FAVINCO;ALMACEN;0;un;100;SÍ;
0700;;53694784;WRAPS MEDIANOS;ALMACEN;0;un;100;SÍ;
69700;;2218;YOGURT NATURAL;ALMACEN;0;un;100;SÍ;
0700;;701;FILET DE MERLUZA A LAS FINAS HIERBAS;CONGELADOS;10990;kg;100;SÍ;
8700;;702;FILET DE MERLUZA REBOZADO;CONGELADOS;12204;kg;100;SÍ;
9700;;705;FORMITAS DE POLLO;CONGELADOS;1;kg;100;SÍ;
9900;;703;HAMBURGUESA DE POLLO;CONGELADOS;5390;kg;100;SÍ;
9700;;711;hamburguesa vegetariana kislev;CONGELADOS;5000;kg;100;SÍ;
9700;;704;HAMBURGUESAS DE POLLO JAMON Y QUESO;CONGELADOS;6390;kg;100;SÍ;
9700;;745;MEDALLON DE POLLO C/ JAMON Y QUESO;CONGELADOS;0;kg;100;SÍ;
0700;;798;MEDALLON MERLUZA;CONGELADOS;0;kg;100;SÍ;
2700;;780;MEDALLON MERLUZA EYQ;CONGELADOS;0;kg;100;SÍ;
8700;;2025;MEDALLONES DE POLLO;CONGELADOS;0;kg;100;SÍ;
8700;;2026;MEDALLONES JYQ;CONGELADOS;0;kg;100;SÍ;
9700;;706;NUTRIDAM MILANESA DE SOJA;CONGELADOS;3300;kg;100;SÍ;
0700;;111111;PAPAS BASTON MC;CONGELADOS;0;kg;100;SÍ;
9700;;707;Papas Baston Mcain;CONGELADOS;0;kg;100;SÍ;
5700;;708;PAPAS NOISETTES MC CAIN;CONGELADOS;5190;kg;100;SÍ;
8700;;1289;PAPAS SMILES MC;CONGELADOS;0;kg;100;SÍ;
5000;;709;PAPAS SMILES MC CAIN;CONGELADOS;6390;kg;100;SÍ;
9000;;710;PATITAS DE POLLO;CONGELADOS;6290;kg;100;SÍ;
5000;;PATITAS;PATITAS DE POLLO 1;CONGELADOS;0;kg;100;SÍ;
0;;970;PATITAS DE POLLOO;CONGELADOS;0;un;100;SÍ;
9000;;757;CRIOLLOS;PAN;0;kg;100;SÍ;
0000;;754;PAN CAMPO;PAN;1890;un;100;SÍ;
9000;;756;Pan Ciabatta;PAN;3600;kg;100;SÍ;
9000;;778;PAN DE PANCHO;PAN;0;kg;100;SÍ;
5000;;753;PAN FRANCES;PAN;1000;kg;100;SÍ;
9000;;752;PAN HAMBURGUESA C/QUESO;PAN;5460;kg;100;SÍ;
7500;;755;PAN HAMBURGUESA C/SUNSET;PAN;5340;kg;100;SÍ;
9000;;751;PAN RALLADO 1KG;PAN;3290;kg;100;SÍ;
9000;;759;Tira de Pan;PAN;1200;kg;100;SÍ;
6000;;14766;CANELA ALICANTE;CARBON Y LENA;0;un;100;SÍ;
9000;;775;Carbon Mezcla x4KG FLAMAR;CARBON Y LENA;3600;un;100;SÍ;
3000;;774;Carbon Quebracho blanco x4KG FLAMAR;CARBON Y LENA;0;un;100;SÍ;
0000;;CARBON3;CARBON X 3 KG;CARBON Y LENA;0;un;100;SÍ;
0000;;773;CARBON X 4 KG;CARBON Y LENA;3600;un;100;SÍ;
9000;;771;CARBON X 5 KG.;CARBON Y LENA;5000;un;100;SÍ;
9000;;772;LENA EN BOLSA;CARBON Y LENA;5500;un;100;SÍ;
9000;;777;Lena Quebracho Blanco x10KG;CARBON Y LENA;0;un;100;SÍ;
0000;;776;Lena Quebracho Blanco x7KG Flamar;CARBON Y LENA;0;un;100;SÍ;
9000;;2000;AJUSTE DE BOLETA;OTROS PRODUCTOS;0;kg;100;SÍ;
9000;;2002;AJUSTE DE BOLETAS;OTROS PRODUCTOS;0;kg;100;SÍ;
5000;;77;bd;OTROS PRODUCTOS;200;kg;100;SÍ;
7000;;2013;Bolsa de Tela;OTROS PRODUCTOS;1200;kg;100;SÍ;
9000;;910;BRASERO DE 2.5mm ECO CRONOS;OTROS PRODUCTOS;265000;kg;100;SÍ;
9000;;973164;Brasero Eco Cronos 2.5 mm;OTROS PRODUCTOS;264000;kg;100;SÍ;
9000;;2014;Cabrito;OTROS PRODUCTOS;17500;kg;100;SÍ;
1500;;DELIVERY;DELIVERY;OTROS PRODUCTOS;0;kg;100;SÍ;
0000;;911;DISCO TERRA ECO CRONOS;OTROS PRODUCTOS;0;kg;100;SÍ;
9000;;319754;Disco tierra Eco Cronos;OTROS PRODUCTOS;150000;kg;100;SÍ;
9000;;15453;ENVIO DADDY;OTROS PRODUCTOS;0;kg;100;SÍ;
9900;;2001;Facturas para desayuno;OTROS PRODUCTOS;0;kg;100;SÍ;
9000;;8881;Guantes Eco Cronos;OTROS PRODUCTOS;0;kg;100;SÍ;
9000;;10009;Huevo de Pascua;OTROS PRODUCTOS;0;kg;100;SÍ;
0000;;748536;Juego de cubiertos Eco Cronos;OTROS PRODUCTOS;50000;kg;100;SÍ;
9000;;2015;KIT ASADOR DE PIE;OTROS PRODUCTOS;34000;kg;100;SÍ;
8500;;900;LECHON;OTROS PRODUCTOS;17500;kg;100;SÍ;
0000;;6128;molida cordero;OTROS PRODUCTOS;1;botella;100;SÍ;
0000;;986521;Pala y Atizador Eco Cronos;OTROS PRODUCTOS;39500;kg;100;SÍ;
2000;;319847;Par de guantes Eco Cronos;OTROS PRODUCTOS;20000;kg;100;SÍ;
0000;;635274;Parrillas 50x60 Hierro flotante Eco Cronos;OTROS PRODUCTOS;134950;kg;100;SÍ;
5000;;2011;Plancheta;OTROS PRODUCTOS;0;kg;100;SÍ;
6000;;2007;PROMO BURGER;OTROS PRODUCTOS;30000;kg;100;SÍ;
0000;;SEÃA;SENA DE PEDIDOS;OTROS PRODUCTOS;0;un;100;SÍ;
0000;;3013;CAPADOR;Cuchillos;0;kg;100;SÍ;
0000;;3003;Cuchillo 2L;Cuchillos;37500;kg;100;SÍ;
0000;;3012;Cuchillo Axe Curv;Cuchillos;41500;kg;100;SÍ;
0000;;3011;Cuchillo Curv;Cuchillos;38500;kg;100;SÍ;
4000;;3004;Cuchillo de Cocina Kingsta;Cuchillos;32500;bandeja;100;SÍ;
9000;;3001;Cuchillo de Mano c/ Diseno;Cuchillos;18000;kg;100;SÍ;
0000;;3002;Cuchillo Hacha 2L;Cuchillos;35000;kg;100;SÍ;
0000;;3006;Cuchillo Hacha Butcher Knife m10;Cuchillos;60000;kg;100;SÍ;
0000;;3007;Cuchillo Hacha Japonesa Chica;Cuchillos;32500;kg;100;SÍ;
2900;;3008;Cuchillo Hacha Japonesa Grande;Cuchillos;36000;kg;100;SÍ;
0000;;3009;Cuchillo Japones 377;Cuchillos;27500;kg;100;SÍ;
2000;;3010;Cuchillo Knife 101;Cuchillos;68000;kg;100;SÍ;
2000;;3000;Cuchillo XF78;Cuchillos;35000;kg;100;SÍ;
0000;;3005;Cuchillos Hacha Slicer knife m12;Cuchillos;0;kg;100;SÍ;
0000;;3014;JUEGO CUCHILLO + TENEDOR;Cuchillos;30000;kg;100;SÍ;
0000;;3050;Tabla 28x45;Tablas;26000;un;100;SÍ;
0000;;3051;Tabla 20x30;Tablas;16000;kg;100;SÍ;
5000;;2012;Tabla Para Cocinar;Tablas;0;kg;100;SÍ;
5000;;5000;COMBO NÂ° 1 - LOCRO;COMBOS - OFERTAS;41499;kg;100;SÍ;
9000;;5001;COMBO NÂ° 2 - LOCRO;COMBOS - OFERTAS;43499;kg;100;SÍ;
0000;;5002;COMBO NÂ° 3 - LOCRO;COMBOS - OFERTAS;36499;kg;100;SÍ;
8900;;9007;HAMBURGUESAS REPUBLICA BOX x 6UN;HAMURGUESAS ELAB PROPIA;8690;kg;100;SÍ;
9000;;9008;HAMBURGUESAS REPUBLICA FLOW x 2UN;HAMURGUESAS ELAB PROPIA;2959;kg;100;SÍ;
